name,id,revenue
Admiral Pictures (II),1.0,0.0
Admire Productions Ltd.,1.0,4352094.0
Adolfo Aristarain,2.0,0.0
Adoor Gopalakrishnan Productions,2.0,0.0
Adrian Țofei,1.0,0.0
Adriana International Corporation,1.0,0.0
Adriatica Film,1.0,0.0
Adrénaline,1.0,0.0
Adullam Films LLC,1.0,0.0
Adult Swim,3.0,0.0
Advance Productions,1.0,0.0
Advanced Music,1.0,0.0
Adventure Films,1.0,0.0
Adventure Pictures,3.0,0.0
Aegean Airlines,1.0,0.0
Aegis Film Fund,6.0,439945610.0
Aeroplan Film,2.0,0.0
Aeroplano,1.0,0.0
Aeteas Filmproduktions,1.0,0.0
Aetios Production,1.0,0.0
Aetos Produzioni Cinematografiche,2.0,0.0
Affinity Entertainment,2.0,0.0
Affirm Films,8.0,270654486.0
Afghan Luke Productions,1.0,0.0
Afineevsky - Tolmor Production,1.0,0.0
Afraid of the Dark,1.0,0.0
"Afrodita Audiovisual, A.I.E.",2.0,6399.0
After Dark Films,21.0,19991767.0
Afton-Linebrook,1.0,0.0
Agamemnon Films,3.0,0.0
Agana,1.0,0.0
Agat Films,2.0,0.0
Agat Films & Cie,11.0,0.0
Agav Films,2.0,0.0
Agav Hafakot,4.0,0.0
Agence Algérienne pour le Rayonnement Culturel (AARC),1.0,0.0
Agence BJP,2.0,0.0
Agence Nationale pour la Cohésion Sociale et l'Egalité des Chances (ACSE),4.0,60765.0
Agencja Filmowa Telewizji Polskiej (coprodukcja),1.0,0.0
Agencja Produkcji Filmowej,11.0,120072577.0
Agenda,1.0,0.0
Agent Two,1.0,3696232.0
Ager Cinematografica,2.0,0.0
Aggregate Film,1.0,7800000.0
Aggregate Films,1.0,173965010.0
Agi Orsi Productions,1.0,0.0
Agidi,2.0,0.0
Agile fims,1.0,0.0
Agincourt Productions Limited,1.0,0.0
Agnes Delahaie Productions,2.0,0.0
Agnès b. Productions,2.0,0.0
Agon Arts and Entertainment,1.0,0.0
Agora Entertainment,2.0,0.0
Agora Films,9.0,0.0
Agora Films S.A.,1.0,0.0
Agora Films S.A. (koprodukcja),2.0,0.0
Agosto la Película,1.0,0.0
Agresywna Banda,2.0,0.0
Agrupación de Cine 001 AIE,1.0,0.0
Agua Films,1.0,0.0
Agung,1.0,0.0
Agência Nacional do Cinema (ANCINE),3.0,0.0
Ahimsa Films,1.0,58978653.0
Ahiru to Kamo no Koin rokkâ Seisaku Iinkai,1.0,0.0
Aho & Soldan,1.0,0.0
Aica Cinematografica S.R.L,2.0,0.0
Aichi Arts Center,1.0,0.0
Aida United,1.0,0.0
Aiete Films S.A.,1.0,0.0
Aimimage Productions,3.0,0.0
Air Bud Entertainment,1.0,0.0
Air-Edel Associates,1.0,0.0
Airan Consultants,1.0,0.0
Airborne Productions,2.0,0.0
AireCine,1.0,0.0
Airone Productions,1.0,0.0
Aist Corporation,1.0,0.0
Aitysh Film,1.0,0.0
Aja / Levasseur Productions,1.0,83188165.0
Ajace Produzioni Cinematografiche,1.0,0.0
Ajanta Pictures,1.0,0.0
Ajay Devgn Films,2.0,0.0
Ajay Film Company,1.0,0.0
Ajym Films,2.0,0.0
AkamPuram,1.0,0.0
Akanga Film Productions,1.0,0.0
Akil Production Company,1.0,24637469.0
Akira Committee Company Ltd.,1.0,553171.0
Akita Publishing,2.0,0.0
Akkord Film Produktion GmbH,1.0,0.0
Akson Studio,6.0,14723313.0
Aksoy Film Production,1.0,0.0
Aktualnyy Film,1.0,0.0
Akün Film,1.0,0.0
Al Jazeera Documentary Channel,1.0,0.0
Al Shorouk for Media Productions,1.0,0.0
Al!ve AG,1.0,0.0
Al-Ahramm Studios,1.0,0.0
Alabama Moon Entertainment,1.0,0.0
Alabama Production Group,1.0,34522221.0
Alain Keytsman Production,1.0,0.0
Alamdary,1.0,0.0
Alameda Films,5.0,0.0
Alamode Film,1.0,0.0
Alan C. Fox,1.0,0.0
Alan C. Margolin - Joel M. Reed Productions,1.0,0.0
Alan Greenspan Productions,1.0,50451307.0
Alan Jay Lerner Productions,1.0,31678778.0
Alan Landsburg Productions,3.0,87987055.0
Alan Sacks Productions,4.0,0.0
Alan Shayne Productions,1.0,0.0
Alan Young Pictures,2.0,674918.0
Alarahastatud Filmikompanii,1.0,0.0
Alarum PIctures,1.0,0.0
Alaska Film Partners Ltd.,1.0,0.0
Alazraki Films,1.0,0.0
Alba Cinematografica,2.0,0.0
Alba Produzioni,1.0,0.0
Albacore Productions Inc.,1.0,1700000.0
Albany Productions,1.0,0.0
Albarès Productions,1.0,0.0
Albatros C.P.C.,1.0,0.0
Albatros Filmproduktion,5.0,0.0
Albatros Produktion,3.0,0.0
Albatross Production Company,1.0,0.0
Albemarle Films,1.0,0.0
Albert Band International Productions Inc.,1.0,0.0
Albert Granville,1.0,0.0
Albert S. Ruddy Productions,3.0,234272164.0
Albert Zugsmith Productions,4.0,0.0
"Alberta Film Development Program of the Alberta Foundation for the Arts, The",2.0,0.0
Alberta Film Development Program of the Alberta Government,1.0,59192128.0
Alberta Film Entertainment,7.0,192755554.0
Alberta Filmworks,1.0,0.0
Albertine Production,1.0,0.0
Albertine Productions,3.0,154701.0
Alberto Grimaldi Productions,1.0,193772504.0
"Albfilm, Tirana",1.0,0.0
Albina Productions S.a.r.l.,5.0,0.0
Albino Alligator Productions,1.0,0.0
Albion Film Corp. (I),2.0,0.0
