id,original_language,spoken_languages
10283,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
948,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11281,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10676,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11357,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11361,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
36599,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
39929,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
41828,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
41769,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10585,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11186,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'tr', 'name': 'Türkçe'}]"
11187,en,"[{'iso_639_1': 'cs', 'name': 'Český'}, {'iso_639_1': 'en', 'name': 'English'}]"
609,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11133,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10306,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9552,en,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'el', 'name': 'ελληνικά'}, {'iso_639_1': 'en', 'name': 'English'}]"
11586,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'es', 'name': 'Español'}]"
11587,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
941,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
942,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'af', 'name': 'Afrikaans'}]"
943,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
927,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]"
928,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9342,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
165,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
196,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
551,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
17984,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
22328,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
