id_x,name,id_pelicula
1988,Epic Productions,30379
4109,Vision PDG,35200
10166,Alliance Entertainment,9398
306,Twentieth Century Fox Film Corporation,10866
396,SLM Production Group,166
5612,Brooksfilms,13612
5612,Brooksfilms,984
12,New Line Cinema,141
1197,Vortex,585
4110,Cannon Films,45964
33306,Nicolas Entertainment,671
17479,Ultra Muchos Productions,16085
4,Paramount Pictures,16441
15081,Rimfire Films,34388
4,Paramount Pictures,37835
514,Silver Screen Partners,26398
9195,Touchstone Pictures,10649
441,Columbia Pictures Corporation,27591
1685,Hofflund/Polone,10650
9269,Global Entertainment Productions GmbH & Company Medien KG,8007
4,Paramount Pictures,161
4,Paramount Pictures,1649
3264,Columbus Circle Films,120
4415,Corn Cobb Productions,12593
7405,Dimension Films,14683
15342,Fifth Avenue Entertainment,45491
4416,Park Avenue Productions,11595
15343,Trans Atlantic Entertainment,9610
33,Universal Pictures,150
1830,Ross Hunter Productions Inc.,11528
33,Universal Pictures,16690
33,Universal Pictures,39939
5418,Alligator Inc,39282
8411,Metro-Goldwyn-Mayer (MGM),993
306,Twentieth Century Fox Film Corporation,11979
12943,APJAC Productions,25006
306,Twentieth Century Fox Film Corporation,23479
12943,APJAC Productions,66946
306,Twentieth Century Fox Film Corporation,19050
22542,Apjac International,108266
306,Twentieth Century Fox Film Corporation,108267
12943,APJAC Productions,15999
306,Twentieth Century Fox Film Corporation,13225
12943,APJAC Productions,7219
33,Universal Pictures,26200
6194,Warner Bros.,38147
705,Spring Creek Productions,24032
6194,Warner Bros.,425
11391,Tribeca Productions,1576
11407,Baltimore Pictures,17804
5,Columbia Pictures,31805
505,Cruel Productions,13861
506,Newmarket Capital Group,29021
60,United Artists,31812
2229,Red Bank Films,28213
79,Village Roadshow Pictures,12705
372,Groucho II Film Partnership,11006
1885,Silver Pictures,15120
6194,Warner Bros.,16026
33,Universal Pictures,36586
11462,Alphaville Films,11452
1066,Distant Horizons,11590
3618,Film Workshop,8346
32841,Win's Entertainment Ltd.,307
1,Lucasfilm,15482
33,Universal Pictures,45878
1314,Hammer Film Productions,12154
87008,Universal Pictures Co. Inc.,11630
33,Universal Pictures,9334
33,Universal Pictures,11470
33,Universal Pictures,5203
6194,Warner Bros.,557
51861,Dovemead Films,12227
51862,Film Export A.G.,43643
6194,Warner Bros.,1894
51861,Dovemead Films,15417
51862,Film Export A.G.,4614
6194,Warner Bros.,2501
51861,Dovemead Films,9637
51903,Cantharus Productions,14774
4110,Cannon Films,11544
6194,Warner Bros.,11982
6231,London-Cannon Films,21972
13549,Golan-Globus Productions,608
33,Universal Pictures,11442
33,Universal Pictures,10996
33,Universal Pictures,818
33,Universal Pictures,24130
33,Universal Pictures,36645
33,Universal Pictures,23728
87008,Universal Pictures Co. Inc.,9488
1314,Hammer Film Productions,7451
33,Universal Pictures,34070
33,Universal Pictures,9266
16593,Hemdale,15070
84526,Cinema '84/Greenberg Brothers Partnership,11243
306,Twentieth Century Fox Film Corporation,19975
463,Michael White Productions,9595
429,DC Comics,24038
12,New Line Cinema,3127
595,Eric's Boy,10859
2,Walt Disney Pictures,10611
33,Universal Pictures,4108
491,Summit Entertainment,18943
506,Newmarket Capital Group,32685
3169,Zide-Perry Productions,18477
223,Les Films du Losange,12262
1666,Rhône-Alpes Cinéma,9533
16366,La Sept Cinéma,10575
5,Columbia Pictures,1682
6254,"Jim Henson Company, The",39462
2188,Artisan Entertainment,18983
15160,Haxan Films,24348
711,Fox 2000 Pictures,82545
11317,Phoenix Pictures,34600
67109,Rocking Chair Productions,39128
441,Columbia Pictures Corporation,11868
4267,Delphi Films,10772
