id,name_genres,id_genres
101660,'Drama' 'Science Fiction' 'Action' 'Adventure',"'18,878,28,12'"
101665,'Adventure','12'
101669,'Crime' 'Drama' 'Horror' 'Thriller',"'80,18,27,53'"
10167,'Crime' 'Action' 'Thriller',"'80,28,53'"
10168,'Comedy' 'Crime',"'35,80'"
10169,'Comedy' 'Crime',"'35,80'"
10170,'Drama' 'Action' 'Thriller' 'Romance',"'18,28,53,10749'"
10171,'Romance' 'Drama',"'10749,18'"
101715,'',''
10172,'Comedy' 'Family' 'Drama',"'35,10751,18'"
101724,'Horror','27'
10173,'Action' 'Thriller',"'28,53'"
101731,'Comedy' 'Drama',"'35,18'"
101733,'Comedy' 'Horror',"'35,27'"
10174,'Documentary' 'Music',"'99,10402'"
101740,'Crime' 'Drama',"'80,18'"
101752,'Drama' 'Romance',"'18,10749'"
10176,'Drama' 'Science Fiction' 'Thriller',"'18,878,53'"
101766,'Drama' 'Foreign',"'18,10769'"
10177,'Comedy' 'Horror' 'Science Fiction',"'35,27,878'"
101772,'Drama' 'War',"'18,10752'"
10178,'Drama' 'War',"'18,10752'"
101783,'Action' 'Thriller' 'Foreign',"'28,53,10769'"
10179,'Action' 'Science Fiction' 'Comedy',"'28,878,35'"
101791,'Horror' 'Thriller',"'27,53'"
1018,'Thriller' 'Drama' 'Mystery',"'53,18,9648'"
10180,'Action' 'Comedy' 'Crime',"'28,35,80'"
101801,'Music' 'Comedy' 'Documentary',"'10402,35,99'"
101803,'Documentary','99'
101806,'Animation' 'Comedy' 'Family' 'Horror' 'Thriller',"'16,35,10751,27,53'"
101818,'Drama','18'
10183,'Drama','18'
101838,'Crime' 'Drama' 'Thriller',"'80,18,53'"
10184,'Comedy' 'Romance' 'Drama',"'35,10749,18'"
10185,'Mystery' 'Drama' 'Crime' 'Thriller' 'Horror',"'9648,18,80,53,27'"
101852,'Thriller' 'Mystery' 'Romance',"'53,9648,10749'"
101858,'Comedy','35'
10186,'Comedy' 'Music',"'35,10402'"
101860,'Documentary','99'
10187,'Drama' 'Comedy',"'18,35'"
10188,'Adventure' 'Comedy' 'Drama' 'Family',"'12,35,18,10751'"
101887,'Comedy' 'Drama',"'35,18'"
10189,'Action' 'Comedy',"'28,35'"
101897,'Adventure' 'Comedy',"'12,35'"
10190,'Drama','18'
101904,'Fantasy' 'Drama',"'14,18'"
101908,'Drama','18'
10191,'Fantasy' 'Adventure' 'Animation' 'Family',"'14,12,16,10751'"
101915,'Drama','18'
101916,'Thriller' 'Drama',"'53,18'"
101917,'Drama','18'
10192,'Comedy' 'Adventure' 'Fantasy' 'Animation' 'Family',"'35,12,14,16,10751'"
101929,'Crime' 'Drama',"'80,18'"
10193,'Animation' 'Family' 'Comedy',"'16,10751,35'"
10195,'Adventure' 'Fantasy' 'Action',"'12,14,28'"
101956,'Drama','18'
10196,'Action' 'Adventure' 'Family' 'Fantasy',"'28,12,10751,14'"
101965,'Foreign' 'Drama',"'10769,18'"
101968,'Drama','18'
10197,'Drama' 'Music' 'Romance',"'18,10402,10749'"
10198,'Romance' 'Family' 'Animation' 'Music',"'10749,10751,16,10402'"
10199,'Adventure' 'Animation' 'Family',"'12,16,10751'"
101995,'',''
101998,'Drama','18'
102,'Drama' 'Romance',"'18,10749'"
10200,'Drama' 'Science Fiction' 'Thriller',"'18,878,53'"
102000,'Drama','18'
102001,'Drama','18'
10201,'Comedy','35'
102016,'Drama' 'Foreign',"'18,10769'"
10202,'Fantasy' 'Comedy' 'Family' 'Romance',"'14,35,10751,10749'"
102024,'Drama' 'Romance',"'18,10749'"
102032,'Drama' 'Documentary',"'18,99'"
102038,'Drama' 'Romance',"'18,10749'"
102039,'Comedy' 'Science Fiction',"'35,878'"
10204,'Action' 'Adventure' 'Comedy',"'28,12,35'"
102041,'Documentary' 'History',"'99,36'"
10205,'Comedy' 'Foreign' 'Horror' 'Thriller',"'35,10769,27,53'"
102051,'Comedy' 'Romance',"'35,10749'"
102053,'Comedy','35'
102057,'Comedy','35'
102059,'Action' 'Comedy',"'28,35'"
10206,'Action' 'Comedy' 'Horror',"'28,35,27'"
10207,'Romance' 'Drama',"'10749,18'"
102078,'War' 'Drama',"'10752,18'"
10208,'Fantasy' 'Comedy' 'Science Fiction' 'Family',"'14,35,878,10751'"
102081,'Drama' 'Romance' 'War',"'18,10749,10752'"
10209,'Romance' 'Drama',"'10749,18'"
102091,'Comedy' 'Drama' 'War',"'35,18,10752'"
10210,'Fantasy' 'Drama' 'Comedy' 'Romance',"'14,18,35,10749'"
10212,'Comedy' 'Horror' 'Thriller' 'Western',"'35,27,53,37'"
10213,'Western' 'Horror' 'Thriller',"'37,27,53'"
10214,'Fantasy' 'Comedy' 'Family' 'Adventure',"'14,35,10751,12'"
102144,'Comedy','35'
10215,'Comedy' 'Drama' 'Fantasy' 'Romance',"'35,18,14,10749'"
102155,'History' 'War',"'36,10752'"
10216,'Science Fiction' 'Action' 'Horror',"'878,28,27'"
102161,'Animation','16'
102165,'Drama' 'War',"'18,10752'"
10217,'Drama','18'
10218,'Comedy' 'Romance',"'35,10749'"
10219,'Drama' 'Romance',"'18,10749'"
102195,'Comedy' 'Science Fiction',"'35,878'"
102197,'Action' 'Thriller',"'28,53'"
102198,'Drama' 'Romance',"'18,10749'"
10220,'Drama' 'Crime',"'18,80'"
102207,'Adventure' 'Comedy',"'12,35'"
10222,'Action' 'Thriller',"'28,53'"
102222,'Drama' 'Action',"'18,28'"
102227,'Comedy' 'Foreign',"'35,10769'"
10223,'Drama' 'Crime' 'Thriller',"'18,80,53'"
102234,'Action' 'Crime',"'28,80'"
102242,'Music' 'Drama',"'10402,18'"
10225,'Horror' 'Mystery' 'Thriller',"'27,9648,53'"
102256,'Mystery' 'Drama' 'Fantasy' 'Horror' 'Thriller',"'9648,18,14,27,53'"
10226,'Horror' 'Thriller' 'Mystery',"'27,53,9648'"
10227,'Comedy','35'
102272,'Drama','18'
10228,'Animation','16'
102286,'Drama','18'
102288,'Action' 'Western',"'28,37'"
102289,'Western','37'
10229,'Drama' 'Romance',"'18,10749'"
102292,'Drama','18'
102295,'Adventure' 'Drama',"'12,18'"
1023,'Drama' 'Comedy' 'Crime',"'18,35,80'"
102304,'Drama','18'
102305,'Drama','18'
10232,'Drama','18'
102331,'Drama','18'
102337,'Drama','18'
10234,'Drama' 'Horror' 'Thriller',"'18,27,53'"
10235,'Drama' 'History' 'War',"'18,36,10752'"
10236,'Drama' 'Romance',"'18,10749'"
102362,'Thriller' 'Action' 'Crime' 'Drama',"'53,28,80,18'"
102363,'Drama' 'Action',"'18,28'"
102368,'',''
10237,'Crime' 'Drama' 'Thriller',"'80,18,53'"
10238,'Drama','18'
102382,'Action' 'Adventure' 'Fantasy',"'28,12,14'"
102384,'Adventure' 'Comedy' 'Romance',"'12,35,10749'"
10239,'Drama' 'Romance',"'18,10749'"
1024,'Drama' 'Fantasy',"'18,14'"
102406,'Drama','18'
10241,'Comedy' 'Foreign',"'35,10769'"
102410,'Music','10402'
102419,'Thriller','53'
10242,'Drama' 'Horror' 'Thriller',"'18,27,53'"
102420,'Comedy' 'Horror',"'35,27'"
102428,'Drama' 'Music',"'18,10402'"
10243,'Adventure' 'Drama',"'12,18'"
102431,'Drama' 'Family',"'18,10751'"
10244,'Drama','18'
102444,'Science Fiction' 'Western',"'878,37'"
10246,'Comedy','35'
102461,'Drama','18'
10247,'Romance' 'Comedy' 'Drama',"'10749,35,18'"
10248,'Comedy','35'
102488,'Western','37'
102489,'Drama' 'Romance',"'18,10749'"
10249,'Action' 'Adventure' 'Science Fiction' 'Family',"'28,12,878,10751'"
10251,'Horror' 'Thriller',"'27,53'"
102517,'TV Movie' 'Comedy',"'10770,35'"
102524,'Drama' 'Comedy',"'18,35'"
102526,'Adventure' 'Drama',"'12,18'"
102527,'',''
10253,'Fantasy' 'Drama' 'Horror' 'Action' 'Thriller' 'Science Fiction',"'14,18,27,28,53,878'"
102533,'',''
102534,'Thriller','53'
10254,'Crime' 'Action' 'Thriller',"'80,28,53'"
102541,'War' 'Drama' 'Romance',"'10752,18,10749'"
10257,'Adventure' 'Action' 'Comedy' 'Science Fiction',"'12,28,35,878'"
10258,'Animation' 'Comedy' 'Family',"'16,35,10751'"
102596,'Documentary' 'War',"'99,10752'"
102597,'Drama' 'Family',"'18,10751'"
10260,'Comedy','35'
10261,'Fantasy' 'Comedy',"'14,35'"
102622,'Music' 'Documentary',"'10402,99'"
102629,'Adventure' 'Drama' 'Action' 'Thriller',"'12,18,28,53'"
10263,'Fantasy' 'Horror' 'Thriller',"'14,27,53'"
102630,'Action' 'Thriller',"'28,53'"
102632,'Action','28'
102639,'Drama','18'
10264,'Drama' 'History',"'18,36'"
102640,'Drama','18'
10265,'Drama' 'Action' 'Comedy' 'Thriller',"'18,28,35,53'"
102651,'Fantasy' 'Adventure' 'Action' 'Family' 'Romance',"'14,12,28,10751,10749'"
102668,'Comedy','35'
10268,'Comedy','35'
10269,'Music' 'Drama' 'Romance',"'10402,18,10749'"
102691,'Documentary','99'
102699,'Drama' 'Crime' 'Thriller',"'18,80,53'"
10270,'Action' 'Drama',"'28,18'"
102707,'',''
10271,'Comedy' 'Romance',"'35,10749'"
10272,'Horror' 'Thriller',"'27,53'"
102732,'Comedy' 'Romance',"'35,10749'"
10274,'Thriller' 'Crime' 'Drama',"'53,80,18'"
102743,'Comedy','35'
10275,'Action','28'
10276,'Comedy','35'
10278,'Drama' 'Thriller' 'Romance',"'18,53,10749'"
102780,'Drama' 'Fantasy' 'Thriller',"'18,14,53'"
102784,'Action' 'Crime' 'Drama',"'28,80,18'"
10279,'Thriller' 'Drama' 'Crime' 'Romance',"'53,18,80,10749'"
10280,'Horror' 'Thriller',"'27,53'"
102807,'Documentary','99'
102809,'Documentary','99'
10281,'Horror' 'Thriller',"'27,53'"
102812,'Documentary' 'Music' 'Comedy',"'99,10402,35'"
102814,'Documentary' 'Music',"'99,10402'"
10283,'Horror' 'Thriller',"'27,53'"
102831,'Comedy','35'
102841,'Comedy','35'
