id_pelicula,department,id_y,job,name
1648,Directing,54441,Director,James Ivory
69828,Directing,73668,Director,James Melkonian
53150,Directing,8858,Director,Ivan Reitman
14550,Directing,56872,Director,Arne Glimcher
17819,Directing,1377239,Script Supervisor,Wilma Garscadden-Gahret
14621,Directing,62043,Director,Michael Gottlieb
19118,Directing,23393,Director,Barbet Schroeder
8216,Directing,1,Director,George Lucas
552,Directing,58094,Director,Gillian Armstrong
60276,Directing,1384398,Script Supervisor,Christine Wilson
2148,Directing,11218,Director,Alfonso Cuarón
57745,Directing,1370965,Script Supervisor,Cynthia Upstill
21055,Directing,15488,Director,Ken Loach
207541,Directing,19069,Director,Claude Chabrol
2294,Directing,22767,Director,Alfonso Aráu
20857,Directing,9181,Director,Edward Zwick
32567,Directing,14692,Director,Nick Castle
43860,Directing,20561,Director,James Gray
21148,Directing,1209612,Script Supervisor,Julie Oppenheimer
66092,Directing,3110,Director,Allison Anders
45864,Directing,58463,Director,Glenn Gordon Caron
13612,Directing,1341865,Script Supervisor,Ana Maria Quintana
26299,Directing,15912,Director,Stephen Gyllenhaal
55727,Directing,55476,Director,Nicholas Hytner
23941,Directing,11181,Director,Kenneth Branagh
27444,Directing,27444,Director,James Orr
9889,Directing,9248,Director,Nora Ephron
1535,Directing,24318,Director,Richard Benjamin
42258,Directing,56911,Director,Les Mayfield
10656,Directing,5065,Director,David Frankel
39938,Directing,16395,Director,Gregory Nava
35284,Directing,54971,Director,Marc Rocco
38922,Directing,6729,Director,Robert Benton
42566,Directing,1183454,Script Supervisor,Robin Squibb
31945,Directing,10781,Director,Michael Apted
161,Directing,17278,Director,Nick Gomez
55479,Directing,129957,Director,Tōru Murakawa
23111,Directing,70905,Director,Vadim Jean
1903,Directing,63937,Director,Albert Pyun
9523,Directing,131792,Director,Alan Jacobs
24264,Directing,1152,Director,Oliver Stone
42612,Directing,13563,Director,Norman Jewison
37257,Directing,7256,Director,Lee Tamahori
24206,Directing,2873,Director,Anne Goursaud
42987,Directing,5231,Director,Wolfgang Petersen
98491,Directing,59,Director,Luc Besson
4965,Directing,1288056,Script Supervisor,Sylvette Baudrot
125717,Directing,8392,First Assistant Director,Pascal Chaumeil
15050,Directing,6495,Director,Mira Nair
11447,Directing,1407825,Script Supervisor,Betty Bennett
16550,Directing,23757,Director,Joshua Brand
4031,Directing,138,Director,Quentin Tarantino
46717,Directing,1895865,First Assistant Director,Francis R. Mahony III
63510,Directing,58809,Script Supervisor,Martin Kitrosser
