id,name_genres
928,"Comedy,Horror,Fantasy"
929,"Science Fiction,Action,Thriller"
931,"Thriller,Drama,Horror"
932,Drama
934,"Drama,Action,Crime"
935,"Drama,Comedy,War"
936,"Comedy,Crime"
938,Western
939,"Drama,Music"
940,"Mystery,Thriller"
941,"Adventure,Action,Comedy,Thriller,Crime"
942,"Action,Adventure,Comedy,Crime,Thriller"
943,"Adventure,Action,Comedy,Thriller,Crime"
944,"Action,Adventure,Comedy,Crime,Thriller"
946,Drama
947,"Adventure,Drama,History,War"
948,"Horror,Thriller"
949,"Action,Crime,Drama,Thriller"
950,"Animation,Family,Comedy,Adventure"
951,Comedy
953,"Family,Animation"
954,"Adventure,Action,Thriller"
955,"Adventure,Action,Thriller"
956,"Adventure,Action,Thriller"
957,"Comedy,Science Fiction"
961,"Action,Adventure,Comedy,Drama"
962,"Adventure,Comedy,Drama"
963,"Mystery,Crime,Thriller"
964,"Drama,Horror"
965,"Romance,Drama"
966,Western
967,"Action,Drama,History"
968,"Crime,Drama,Thriller"
975,"Drama,War"
976,Drama
977,"Adventure,Drama,Romance"
978,"Adventure,Drama,History"
979,"Drama,Thriller,Crime,Mystery"
980,"Action,Drama,Western"
981,"Comedy,Romance"
982,"Mystery,Thriller"
983,"Adventure,Drama"
984,"Action,Crime,Thriller"
985,"Drama,Fantasy,Horror,Science Fiction"
986,"Comedy,Drama,History"
987,"Romance,Drama,Comedy"
988,"Thriller,Drama"
989,Drama
990,Drama
991,"Drama,Science Fiction"
992,"Fantasy,Drama,Comedy,Mystery"
993,"Thriller,Mystery"
994,"Crime,Drama,Thriller,Mystery"
995,"Adventure,Western"
996,"Drama,Mystery,Thriller"
1018,"Thriller,Drama,Mystery"
1023,"Drama,Comedy,Crime"
1024,"Drama,Fantasy"
1039,"Drama,Foreign"
1040,Drama
1049,"Drama,Thriller,Mystery,Romance"
1050,"Comedy,Drama,Foreign"
1051,"Action,Crime,Thriller"
1052,"Drama,Mystery,Thriller"
1058,"Action,Drama,Romance,Thriller"
1059,"Adventure,Drama,Action,Comedy"
1073,"Drama,Thriller,Mystery"
1075,"Comedy,Romance"
1088,"Drama,Family"
1089,"Action,Thriller,Crime"
1090,"Thriller,Science Fiction,Mystery"
1091,"Horror,Mystery,Science Fiction"
1092,"Thriller,Mystery"
1093,"Drama,Thriller,Crime"
1103,"Science Fiction,Action"
1114,"Documentary,Drama"
1115,Drama
1116,"Drama,History,War"
1123,"Action,Drama,Thriller"
1124,"Drama,Mystery,Thriller"
1125,Drama
1126,"Drama,Thriller"
1127,Drama
1162,Drama
1163,"Drama,TV Movie"
1164,Drama
1165,Drama
1213,"Thriller,Crime,Drama"
1244,"Music,Drama,Comedy"
1245,"Drama,Romance"
1246,Drama
1247,"Drama,Thriller,History"
1248,"Crime,Drama,Thriller"
1249,"Drama,Thriller,Crime"
1250,"Thriller,Action,Fantasy,Horror"
1251,"Action,Adventure,Drama,War"
1252,"Drama,Thriller,Crime,Romance"
1253,"Drama,Romance"
1254,Drama
1255,"Horror,Drama,Science Fiction"
1257,Comedy
1259,"Drama,Romance"
1260,"Adventure,Animation,Comedy,Family"
1262,"Comedy,Drama,Fantasy,Romance"
1265,"Adventure,Drama,Family"
1266,"Action,Crime,Drama,Thriller"
1267,"Animation,Comedy,Family"
1268,"Family,Comedy"
1269,"Comedy,Crime"
1271,"Action,Adventure,War"
1272,"Science Fiction,Thriller"
1273,"Adventure,Animation,Comedy,Family"
1277,"Romance,Drama"
1278,"Drama,Romance"
1279,Drama
1280,"Drama,Romance,Crime"
1281,Comedy
1282,Documentary
1283,"Comedy,Crime"
1284,"Comedy,Crime"
1285,"Comedy,Crime"
1294,"Drama,Music"
1358,Documentary
1359,"Thriller,Drama,Crime"
1360,"Drama,Romance"
1361,"Animation,Family,Fantasy"
1362,"Adventure,Animation,Family"
1363,"Drama,Action,Western,Romance"
1364,"Drama,Romance"
1365,"Drama,Romance"
1366,Drama
1367,Drama
1368,"Action,Adventure,Thriller,War"
1369,"Action,Adventure,Thriller,War"
1370,"Action,Adventure,Thriller,War"
1371,Drama
1372,"Drama,Thriller,Action"
1373,"Drama,Fantasy"
1374,Drama
1375,Drama
1376,"Crime,Drama"
1377,"Comedy,Drama,Family,Romance"
1378,"Romance,Drama,Comedy"
1379,"Crime,Drama"
1380,Drama
1381,"Drama,Adventure,Science Fiction,Romance"
1382,"Comedy,Drama"
1387,"Drama,Music"
1389,"Romance,Comedy,Crime"
1391,"Drama,Romance"
1392,Documentary
1393,"Documentary,Drama"
1394,"Drama,Romance"
1396,"Drama,History"
1398,"Drama,Science Fiction,Thriller"
1402,Drama
1403,"Action,Western"
1404,Drama
1405,"Drama,History"
1406,"Action,Adventure,Comedy,Drama,Western"
1407,"Romance,Music,Drama"
1408,"Action,Adventure"
1410,"Comedy,Science Fiction"
1411,"Mystery,Drama"
1412,Drama
1413,"Drama,Romance"
1414,"Drama,Mystery,Romance"
1415,"Comedy,Drama,Crime"
1416,"Thriller,Drama"
1417,"Fantasy,Drama,War"
1418,Drama
1419,"Comedy,Drama"
1420,"Drama,Comedy"
1421,"Drama,Comedy,Romance"
1422,"Drama,Thriller,Crime"
1427,"Crime,Fantasy,Drama"
1428,Action
1429,"Crime,Drama"
1430,Documentary
1433,"Fantasy,Drama,Horror,Thriller,Science Fiction"
1435,"Documentary,Drama"
1439,"Drama,History,Romance"
1440,"Romance,Drama"
1441,"Drama,Action,Thriller,Crime"
1443,"Drama,Romance"
1444,"Comedy,Drama"
1448,"Drama,Fantasy,Horror"
1450,"Action,Adventure,Horror,Science Fiction,Thriller"
1452,"Adventure,Fantasy,Action,Science Fiction"
1479,"Drama,Crime"
1480,"Drama,Thriller,Crime"
1481,"Action,Drama"
1482,"Action,Drama"
1483,"Fantasy,Horror"
