id_original,name
10413,Robert Harmon
10414,Stephen Herek
104146,Joan Micklin Silver
104150,Daniel Sackheim
104155,Morgan Spurlock
10416,Mike Nichols
104171,Hou Hsiao-hsien
104172,Rainer Kirberg
104176,Park Jin-Pyo
104185,Jeff Burr
10419,Thomas Carter
104193,Nagisa Ōshima
104194,"Sylvia Chang,Chen Kuo-Fu,Hou Hsiao-hsien,Arvin Chen,Ya-chuan Hsiao,Wen-Tang Cheng,Hou Chi-jan,Chang Tso-chi,Leon Dai,Cheng Yu-Chieh"
10420,Andrea Štaka
104211,Frank Lloyd
104214,Frank Lloyd
104221,Clarence Brown
10423,Rob Cohen
104232,John Chuldenko
104237,King Hu
104239,Alain Robbe-Grillet
10424,Bruce Robinson
104241,Yoshishige Yoshida
104242,Fernando Arrabal
104244,"Luigi Bazzoni,Franco Rossellini"
10425,John Herzfeld
104250,Nancy Buirski
104251,Shūji Terayama
104259,"Johnnie To,Tsui Hark,Andrew Kam Yeung-Wa"
10426,Marcus Raboy
10427,John Dahl
104274,Lamberto Bava
104275,Jan Švankmajer
104277,SABU
10428,Iain Softley
104285,Rafael Corkidi
10429,Joe Chappelle
104297,Robert Butler
104301,Leonard Nimoy
104306,Evald Schorm
104308,Gianfranco Giagni
10431,Philip G. Atwell
104310,Kim Ki-young
104317,Patrick Bokanowski
10432,Matt Flynn
104320,Alberto Cavallone
104329,Omid Nooshin
10433,John McNaughton
104334,Massimo Dallamano
104338,Alain Robbe-Grillet
10434,Wim Wenders
104343,Nagisa Ōshima
10435,Richard Attenborough
104354,Fernando Arrabal
10436,Martin Scorsese
104360,Romano Scavolini
104364,Peter Bogdanovich
10437,Brian Henson
104374,Yoshishige Yoshida
104376,Aleksey Balabanov
104378,Maya Deren
10438,Rod Daniel
10439,Kenny Ortega
104391,David Lynch
104394,László Benedek
104396,William K.L. Dickson 
104398,Norman McLaren
10440,Woody Allen
104413,Rafal Zielinski
10442,Thomas Schlamme
104427,Benjamin Stoloff
10443,Peter Weir
104430,Michael Curtiz
104431,"Vera Fogwill,Martín De Salvo"
104433,Alan Crosland
104435,Mario Camus
104439,George Fitzmaurice
104449,Robert Altman
10445,Richard Attenborough
104460,Georges Méliès
104462,Georges Méliès
104465,Akihiko Shiota
104466,Georges Méliès
104469,Georges Méliès
10447,Martin Campbell
104471,Georges Méliès
104473,Georges Méliès
104474,Georges Méliès
104476,Georges Méliès
104477,Georges Méliès
10448,Kevin Reynolds
104480,Georges Méliès
104485,"Merian C. Cooper,Ernest B. Schoedsack,Lothar Mendes"
10449,Luis Mandoki
10450,Ezio Greggio
104505,Alain Guiraudie
10451,Ang Lee
104513,"Pierre Lamoureux,Francois Lamoureux"
104515,Miklós Jancsó
10452,Patrice Chéreau
104522,Aleksandr Petrov
104524,Mika Ninagawa
104528,Burt Brinckerhoff
104548,Toshio Matsumoto
104549,Shūji Terayama
104556,Lew Landers
104557,Edward Sedgwick
10458,Mennan Yapo
104602,Blake Edwards
104606,Liu Chia-Liang
104607,Juan Antonio Bardem
10461,Stephen T. Kay
10462,Woody Allen
104634,Xavier Villaverde
104638,Álvaro Sáenz de Heredia
10464,Jessie Nelson
104644,William A. Fraker
104659,Rob Cohen
10466,Richard Benjamin
10467,Alan Parker
104674,Harold Daniels
10468,Betty Thomas
10469,Wolfgang Murnberger
104694,Georges Méliès
104696,Georges Méliès
104697,Georges Méliès
10470,"Michael Schaack,Toby Genkel"
104700,Georges Méliès
104702,Georges Méliès
104704,Georges Méliès
104709,Gregory Wilson
10471,Steve Carr
104710,"Katerina Kitidi,Aris Chatzistefanou"
104711,Hermine Huntgeburth
104718,Jan Kounen
10472,Kris Isacsson
104720,Otto Preminger
104729,John A. Russo
10473,Doug Lefler
104732,"Ronna Gradus,Jill Bauer"
104739,Chantal Akerman
10474,Scott Kalvert
104744,Nagisa Ōshima
10475,Bent Hamer
104755,Rob Zombie
10476,Craig Brewer
10477,Renny Harlin
104776,Josef von Sternberg
10478,Ron Shelton
10479,William Friedkin
10480,Neil LaBute
10481,Kevin Lima
104810,Marlen Khutsiyev
10482,Adrian Edmondson
10483,Paul W.S. Anderson
10484,Francis Veber
104848,Dilip Mehta
10485,Sidney Poitier
104852,William K.L. Dickson 
104858,Kim Ki-duk
104859,Dylan C. Brown
10486,Steve Miner
104863,Robert Nelson
104866,Mario Gariazzo
104871,"Jean-Marie Straub,Danièle Huillet"
104878,Julian Goldberger
10488,"Jennifer Flackett,Mark Levin"
104880,Jean-Philippe Tremblay
10489,Lewis Teague
104896,Kevin Brodie
1049,Jon Amiel
10490,Michael Patrick Jann
10491,Michael Apted
10492,Michael Karen
104927,Mino Guerrini
10493,Phillip Noyce
104931,Jean-Luc Godard
104935,Massimo Dallamano
10494,Satoshi Kon
104945,Luigi Comencini
10495,John G. Avildsen
104954,Giuliano Carnimeo
10496,Louis Morneau
104965,Ali Khamrayev
10497,Roman Polanski
104973,"Jesús Franco,Franco Prosperi"
104974,Alexander Singer
10498,John Badham
104989,Irwin Allen
10499,Volker Schlöndorff
104997,Petri Kotwica
105,Robert Zemeckis
1050,Zhang Yang
10500,Oskar Roehler
105001,Law Wing-cheong
10501,"Don Michael Paul,Bibo Bergeron"
10502,Mel Gibson
105024,Mark Moskowitz
10503,Mike Leigh
105033,José Giovanni
105045,"Margarethe von Trotta,Margarethe von Trotta"
105056,Franklin J. Schaffner
105059,Richard Thorpe
105067,Ernst Lubitsch
105073,Lynn Shores
105077,Edward James Olmos
105078,Duccio Tessari
105079,Umberto Lenzi
105083,Alfonso Brescia
105085,Enzo G. Castellari
105087,Tonino Ricci
